                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.43497,                 0.2835,                 0.9469,                0.99921,                      1,                  0.995,                0.94642,                0.33521,                0.21541,                0.93135,               0.070441,              0.0032843,              0.0032843
                      2,                0.43085,                0.29923,                0.95805,                0.99927,                      1,                  0.995,                0.93521,                0.36206,                0.26002,                0.97013,               0.040114,              0.0062901,              0.0062901
                      3,                0.44752,                0.31633,                0.97074,                0.99926,                      1,                  0.995,                0.91711,                0.43357,                 0.2557,                 1.1003,               0.009456,              0.0089658,              0.0089658
                      4,                0.44707,                 0.3219,                0.96408,                0.99916,                      1,                  0.995,                0.93831,                 0.3467,                0.23174,                0.94738,               0.008515,               0.008515,               0.008515
                      5,                0.43179,                0.30301,                0.95002,                0.99773,                0.98077,                  0.995,                0.91675,                0.47968,                 0.3088,                 1.1885,               0.008515,               0.008515,               0.008515
                      6,                0.42893,                0.31076,                0.94604,                0.99936,                      1,                  0.995,                0.94003,                0.35809,                0.22766,                0.94012,                0.00802,                0.00802,                0.00802
                      7,                0.43661,                0.30573,                0.94988,                0.99952,                      1,                  0.995,                0.92755,                0.39643,                0.22486,                0.99434,               0.007525,               0.007525,               0.007525
                      8,                0.42723,                0.30116,                0.95162,                0.99948,                      1,                  0.995,                 0.9402,                0.33393,                0.21213,                0.93495,                0.00703,                0.00703,                0.00703
                      9,                0.41284,                0.28317,                0.94272,                0.99923,                      1,                  0.995,                 0.9414,                0.37323,                0.21971,                0.96741,               0.006535,               0.006535,               0.006535
                     10,                0.41293,                 0.2851,                0.93591,                0.99931,                      1,                  0.995,                0.94215,                0.34572,                0.21253,                0.92445,                0.00604,                0.00604,                0.00604
                     11,                0.41397,                0.26415,                0.86503,                0.99534,                      1,                  0.995,                0.92309,                0.46046,                0.25897,                 1.1994,               0.005545,               0.005545,               0.005545
                     12,                0.42765,                0.26869,                0.86893,                0.99929,                      1,                  0.995,                0.93399,                 0.3812,                0.23078,                 1.0089,                0.00505,                0.00505,                0.00505
                     13,                0.41029,                 0.2609,                0.87224,                0.99928,                      1,                  0.995,                0.94115,                0.35205,                0.25142,                0.94932,               0.004555,               0.004555,               0.004555
                     14,                0.39737,                0.25411,                0.85885,                0.99943,                      1,                  0.995,                0.94677,                0.33321,                0.21887,                0.93811,                0.00406,                0.00406,                0.00406
                     15,                0.40252,                0.24691,                0.84905,                0.99956,                      1,                  0.995,                0.94233,                0.34518,                0.21657,                0.94587,               0.003565,               0.003565,               0.003565
                     16,                0.40371,                0.24591,                0.83888,                0.99937,                      1,                  0.995,                0.95039,                0.32605,                0.19768,                0.91776,                0.00307,                0.00307,                0.00307
                     17,                0.38022,                0.23492,                0.83384,                0.99936,                      1,                  0.995,                0.94595,                0.34321,                0.19293,                0.95903,               0.002575,               0.002575,               0.002575
                     18,                0.37189,                0.22783,                0.83251,                0.99923,                      1,                  0.995,                0.94685,                0.32095,                0.20405,                 0.9099,                0.00208,                0.00208,                0.00208
                     19,                0.36669,                 0.2263,                0.82589,                0.99931,                      1,                  0.995,                0.95213,                0.30638,                 0.1782,                0.91522,               0.001585,               0.001585,               0.001585
                     20,                0.36142,                0.22146,                0.82801,                0.99932,                      1,                  0.995,                0.95438,                0.29298,                0.17277,                0.89637,                0.00109,                0.00109,                0.00109
