                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.32108,                0.22074,                0.82861,                0.99837,                 0.9973,                0.99439,                0.95499,                0.29028,                0.15807,                0.64366,             0.00036307,             0.00036307,             0.00036307
                     37,                0.32084,                0.22628,                0.82884,                0.99832,                 0.9973,                0.99487,                0.96197,                0.28671,                0.16843,                0.64473,             0.00034108,             0.00034108,             0.00034108
                     38,                0.31666,                0.21867,                0.83056,                0.99844,                 0.9973,                0.99403,                0.95605,                0.29174,                 0.1606,                0.64373,             0.00031908,             0.00031908,             0.00031908
                     39,                 0.3168,                0.21666,                0.82681,                0.99854,                 0.9973,                0.99471,                0.95542,                0.29454,                0.15651,                0.64409,             0.00029708,             0.00029708,             0.00029708
                     40,                0.31334,                0.21531,                0.82539,                0.99828,                 0.9973,                0.99426,                0.95853,                0.29572,                0.15949,                0.64297,             0.00027508,             0.00027508,             0.00027508
                     41,                0.29621,                0.18926,                0.79385,                0.99844,                 0.9973,                 0.9948,                0.95356,                0.30202,                0.16542,                0.64346,             0.00025309,             0.00025309,             0.00025309
                     42,                0.30215,                 0.1938,                0.80136,                0.99826,                 0.9973,                0.99429,                0.95188,                0.29735,                 0.1567,                0.64249,             0.00023109,             0.00023109,             0.00023109
                     43,                0.30074,                 0.1901,                0.79654,                0.99837,                 0.9973,                0.99456,                0.95486,                 0.2922,                0.15576,                0.64384,             0.00020909,             0.00020909,             0.00020909
                     44,                0.29257,                 0.1821,                0.79812,                0.99846,                 0.9973,                 0.9948,                 0.9589,                0.28623,                0.14867,                0.64237,             0.00018709,             0.00018709,             0.00018709
                     45,                0.29117,                0.18021,                0.78847,                0.99844,                 0.9973,                0.99427,                0.96118,                 0.2812,                0.15497,                0.64195,             0.00016509,             0.00016509,             0.00016509
                     46,                0.28798,                0.17642,                   0.79,                0.99848,                 0.9973,                0.99481,                0.96075,                 0.2873,                0.14761,                0.64004,              0.0001431,              0.0001431,              0.0001431
                     47,                0.28333,                0.17048,                0.79248,                0.99841,                 0.9973,                0.99499,                0.95976,                 0.2886,                 0.1502,                0.64051,              0.0001211,              0.0001211,              0.0001211
                     48,                0.28389,                0.16637,                0.78697,                0.99848,                 0.9973,                0.99462,                0.96044,                0.27667,                0.14519,                0.64163,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.27401,                0.16357,                0.78714,                0.99848,                 0.9973,                0.99428,                0.96412,                0.26931,                0.13995,                0.64021,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.27284,                0.16186,                0.79447,                0.99859,                 0.9973,                0.99471,                0.96375,                0.27119,                0.14009,                0.64092,             5.5106e-05,             5.5106e-05,             5.5106e-05
